         7888148 function calls (7801200 primitive calls) in 16.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-23>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-23>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-240>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-240>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-241>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-242>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-243>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-243>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-244>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-245>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-245>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-246>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-247>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-247>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-248>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-249>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-249>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-24>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-250>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-251>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-251>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-252>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-253>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-253>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-254>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-255>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-255>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-256>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-257>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-257>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-258>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-258>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-259>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-25>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-25>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-260>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-261>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-261>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-262>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-263>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-263>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-264>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-265>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-265>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-266>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-267>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-267>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-268>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-269>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-269>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-26>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-270>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-271>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-271>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-272>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-273>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-273>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-274>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-275>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-275>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-276>:1(<module>)
        1    0.000    0.000    0.656    0.656 <decorator-gen-276>:1(pagerank)
        1    0.000    0.000    0.000    0.000 <decorator-gen-277>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-277>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-278>:1(<module>)
